data,id_funcionario,funcao,horas_trabalhadas,taxa_hora_brl
2024-05-07,FUNC1018,cozinheiro,7.6,12.73
2024-05-07,FUNC1014,cozinheiro,8.5,12.73
2024-05-07,FUNC1019,cozinheiro,7.0,12.73
2024-05-07,FUNC1020,recepcionista,5.1,9.09
2024-05-07,FUNC1027,entregador,5.0,10.0
2024-05-07,FUNC1025,entregador,5.3,10.0
2024-05-07,FUNC1028,entregador,5.8,10.0
2024-05-07,FUNC1030,bartender,6.1,10.91
2024-05-07,FUNC1031,bartender,7.9,10.91
2024-05-07,FUNC1034,bartender,5.4,10.91
2024-05-08,FUNC1001,garçom,5.9,8.18
2024-05-08,FUNC1002,garçom,5.8,8.18
2024-05-08,FUNC1005,garçom,6.8,8.18
2024-05-08,FUNC1009,garçom,7.1,8.18
2024-05-08,FUNC1004,garçom,7.5,8.18
2024-05-08,FUNC1008,garçom,6.0,8.18
2024-05-08,FUNC1016,cozinheiro,8.6,12.73
2024-05-08,FUNC1014,cozinheiro,8.3,12.73
2024-05-08,FUNC1019,cozinheiro,8.4,12.73
2024-05-08,FUNC1018,cozinheiro,8.1,12.73
2024-05-08,FUNC1012,cozinheiro,6.3,12.73
2024-05-08,FUNC1013,cozinheiro,9.6,12.73
2024-05-08,FUNC1021,recepcionista,5.8,9.09
2024-05-08,FUNC1028,entregador,5.1,10.0
2024-05-08,FUNC1025,entregador,4.1,10.0
2024-05-08,FUNC1029,entregador,6.7,10.0
2024-05-08,FUNC1031,bartender,6.2,10.91
2024-05-08,FUNC1032,bartender,6.4,10.91
2024-05-08,FUNC1030,bartender,4.7,10.91
2024-05-09,FUNC1000,garçom,7.6,8.18
2024-05-09,FUNC1011,garçom,5.4,8.18
2024-05-09,FUNC1007,garçom,4.0,8.18
2024-05-09,FUNC1004,garçom,7.4,8.18
2024-05-09,FUNC1006,garçom,7.2,8.18
2024-05-09,FUNC1015,cozinheiro,9.5,12.73
2024-05-09,FUNC1016,cozinheiro,8.4,12.73
2024-05-09,FUNC1019,cozinheiro,6.2,12.73
2024-05-09,FUNC1017,cozinheiro,6.9,12.73
2024-05-09,FUNC1013,cozinheiro,7.5,12.73
2024-05-09,FUNC1012,cozinheiro,8.5,12.73
2024-05-09,FUNC1021,recepcionista,5.5,9.09
2024-05-09,FUNC1024,entregador,7.6,10.0
2024-05-09,FUNC1028,entregador,6.8,10.0
2024-05-09,FUNC1027,entregador,6.1,10.0
2024-05-09,FUNC1032,bartender,6.2,10.91
2024-05-09,FUNC1033,bartender,6.8,10.91
2024-05-10,FUNC1007,garçom,5.4,8.18
2024-05-10,FUNC1008,garçom,6.3,8.18
2024-05-10,FUNC1011,garçom,5.4,8.18
2024-05-10,FUNC1002,garçom,4.4,8.18
2024-05-10,FUNC1004,garçom,5.0,8.18
2024-05-10,FUNC1006,garçom,5.7,8.18
2024-05-10,FUNC1003,garçom,6.9,8.18
2024-05-10,FUNC1009,garçom,5.3,8.18
2024-05-10,FUNC1000,garçom,7.3,8.18
2024-05-10,FUNC1013,cozinheiro,6.6,12.73
2024-05-10,FUNC1016,cozinheiro,9.0,12.73
2024-05-10,FUNC1019,cozinheiro,8.6,12.73
2024-05-10,FUNC1015,cozinheiro,9.2,12.73
2024-05-10,FUNC1017,cozinheiro,6.4,12.73
2024-05-10,FUNC1018,cozinheiro,8.7,12.73
2024-05-10,FUNC1012,cozinheiro,8.3,12.73
2024-05-10,FUNC1014,cozinheiro,7.7,12.73
2024-05-10,FUNC1020,recepcionista,6.0,9.09
2024-05-10,FUNC1022,recepcionista,4.7,9.09
2024-05-10,FUNC1029,entregador,7.1,10.0
2024-05-10,FUNC1026,entregador,6.2,10.0
2024-05-10,FUNC1028,entregador,5.9,10.0
2024-05-10,FUNC1033,bartender,5.0,10.91
2024-05-10,FUNC1034,bartender,6.4,10.91
2024-05-10,FUNC1031,bartender,5.3,10.91
2024-05-10,FUNC1032,bartender,5.8,10.91
2024-05-11,FUNC1004,garçom,6.1,8.18
2024-05-11,FUNC1003,garçom,6.3,8.18
2024-05-11,FUNC1001,garçom,5.1,8.18
2024-05-11,FUNC1011,garçom,5.6,8.18
2024-05-11,FUNC1009,garçom,6.9,8.18
2024-05-11,FUNC1008,garçom,7.5,8.18
2024-05-11,FUNC1007,garçom,8.0,8.18
2024-05-11,FUNC1006,garçom,4.3,8.18
2024-05-11,FUNC1005,garçom,7.4,8.18
2024-05-11,FUNC1002,garçom,7.8,8.18
2024-05-11,FUNC1014,cozinheiro,8.9,12.73
2024-05-11,FUNC1016,cozinheiro,9.1,12.73
2024-05-11,FUNC1012,cozinheiro,9.6,12.73
2024-05-11,FUNC1019,cozinheiro,8.0,12.73
2024-05-11,FUNC1018,cozinheiro,6.5,12.73
2024-05-11,FUNC1015,cozinheiro,6.1,12.73
2024-05-11,FUNC1017,cozinheiro,7.6,12.73
2024-05-11,FUNC1013,cozinheiro,7.4,12.73
2024-05-11,FUNC1023,recepcionista,5.8,9.09
2024-05-11,FUNC1021,recepcionista,6.0,9.09
2024-05-11,FUNC1020,recepcionista,5.1,9.09
2024-05-11,FUNC1024,entregador,7.4,10.0
2024-05-11,FUNC1027,entregador,5.6,10.0
2024-05-11,FUNC1025,entregador,4.5,10.0
2024-05-11,FUNC1028,entregador,4.5,10.0
2024-05-11,FUNC1031,bartender,4.1,10.91
2024-05-11,FUNC1033,bartender,5.9,10.91
2024-05-11,FUNC1030,bartender,7.8,10.91
2024-05-11,FUNC1032,bartender,4.1,10.91
2024-05-11,FUNC1034,bartender,4.2,10.91
2024-05-12,FUNC1010,garçom,6.3,8.18
2024-05-12,FUNC1008,garçom,7.3,8.18
2024-05-12,FUNC1000,garçom,5.7,8.18
2024-05-12,FUNC1004,garçom,4.0,8.18
2024-05-12,FUNC1002,garçom,7.2,8.18
2024-05-12,FUNC1001,garçom,7.6,8.18
2024-05-12,FUNC1011,garçom,4.3,8.18
2024-05-12,FUNC1007,garçom,6.4,8.18
2024-05-12,FUNC1006,garçom,4.3,8.18
2024-05-12,FUNC1015,cozinheiro,6.4,12.73
2024-05-12,FUNC1019,cozinheiro,8.6,12.73
2024-05-12,FUNC1016,cozinheiro,7.5,12.73
2024-05-12,FUNC1013,cozinheiro,6.8,12.73
2024-05-12,FUNC1018,cozinheiro,8.6,12.73
2024-05-12,FUNC1017,cozinheiro,6.5,12.73
2024-05-12,FUNC1012,cozinheiro,6.6,12.73
2024-05-12,FUNC1014,cozinheiro,8.8,12.73
2024-05-12,FUNC1022,recepcionista,4.1,9.09
2024-05-12,FUNC1021,recepcionista,4.2,9.09
2024-05-12,FUNC1029,entregador,5.9,10.0
2024-05-12,FUNC1025,entregador,5.7,10.0
2024-05-12,FUNC1027,entregador,5.9,10.0
2024-05-12,FUNC1030,bartender,7.6,10.91
2024-05-12,FUNC1034,bartender,4.6,10.91
2024-05-12,FUNC1031,bartender,5.0,10.91
2024-05-12,FUNC1033,bartender,7.5,10.91
2024-05-13,FUNC1006,garçom,7.5,8.18
2024-05-13,FUNC1010,garçom,7.9,8.18
2024-05-13,FUNC1007,garçom,6.2,8.18
2024-05-13,FUNC1005,garçom,4.6,8.18
2024-05-13,FUNC1003,garçom,7.4,8.18
2024-05-13,FUNC1018,cozinheiro,7.1,12.73
2024-05-13,FUNC1016,cozinheiro,7.4,12.73
2024-05-13,FUNC1013,cozinheiro,8.9,12.73
2024-05-13,FUNC1014,cozinheiro,8.3,12.73
2024-05-13,FUNC1017,cozinheiro,9.4,12.73
2024-05-13,FUNC1020,recepcionista,5.1,9.09
2024-05-13,FUNC1027,entregador,8.0,10.0
2024-05-13,FUNC1028,entregador,5.1,10.0
2024-05-13,FUNC1029,entregador,5.6,10.0
2024-05-13,FUNC1034,bartender,5.3,10.91
2024-05-13,FUNC1031,bartender,7.4,10.91
2024-05-14,FUNC1006,garçom,6.8,8.18
2024-05-14,FUNC1001,garçom,6.5,8.18
2024-05-14,FUNC1002,garçom,7.1,8.18
2024-05-14,FUNC1005,garçom,4.3,8.18
2024-05-14,FUNC1007,garçom,4.2,8.18
2024-05-14,FUNC1009,garçom,6.7,8.18
2024-05-14,FUNC1015,cozinheiro,8.4,12.73
2024-05-14,FUNC1018,cozinheiro,8.6,12.73
2024-05-14,FUNC1017,cozinheiro,8.7,12.73
2024-05-14,FUNC1014,cozinheiro,9.6,12.73
2024-05-14,FUNC1013,cozinheiro,7.6,12.73
2024-05-14,FUNC1019,cozinheiro,8.8,12.73
2024-05-14,FUNC1021,recepcionista,4.7,9.09
2024-05-14,FUNC1024,entregador,4.2,10.0
2024-05-14,FUNC1025,entregador,6.4,10.0
2024-05-14,FUNC1029,entregador,4.9,10.0
2024-05-14,FUNC1030,bartender,7.5,10.91
2024-05-14,FUNC1032,bartender,7.1,10.91
2024-05-14,FUNC1031,bartender,7.2,10.91
2024-05-15,FUNC1002,garçom,4.3,8.18
2024-05-15,FUNC1010,garçom,5.2,8.18
2024-05-15,FUNC1011,garçom,7.1,8.18
2024-05-15,FUNC1006,garçom,4.4,8.18
2024-05-15,FUNC1001,garçom,7.9,8.18
2024-05-15,FUNC1004,garçom,7.5,8.18
2024-05-15,FUNC1016,cozinheiro,6.7,12.73
2024-05-15,FUNC1017,cozinheiro,8.5,12.73
2024-05-15,FUNC1019,cozinheiro,7.2,12.73
2024-05-15,FUNC1013,cozinheiro,6.5,12.73
2024-05-15,FUNC1012,cozinheiro,6.2,12.73
2024-05-15,FUNC1015,cozinheiro,7.3,12.73
2024-05-15,FUNC1020,recepcionista,5.3,9.09
2024-05-15,FUNC1024,entregador,6.7,10.0
2024-05-15,FUNC1025,entregador,7.7,10.0
2024-05-15,FUNC1026,entregador,5.3,10.0
2024-05-15,FUNC1031,bartender,5.7,10.91
2024-05-15,FUNC1033,bartender,4.4,10.91
2024-05-15,FUNC1030,bartender,5.7,10.91
2024-05-16,FUNC1004,garçom,6.7,8.18
2024-05-16,FUNC1006,garçom,6.6,8.18
2024-05-16,FUNC1009,garçom,5.6,8.18
2024-05-16,FUNC1005,garçom,7.5,8.18
2024-05-16,FUNC1010,garçom,6.8,8.18
2024-05-16,FUNC1016,cozinheiro,8.5,12.73
2024-05-16,FUNC1015,cozinheiro,7.2,12.73
2024-05-16,FUNC1017,cozinheiro,9.3,12.73
2024-05-16,FUNC1018,cozinheiro,7.9,12.73
2024-05-16,FUNC1013,cozinheiro,6.4,12.73
2024-05-16,FUNC1012,cozinheiro,8.2,12.73
2024-05-16,FUNC1020,recepcionista,5.1,9.09
2024-05-16,FUNC1028,entregador,6.2,10.0
2024-05-16,FUNC1024,entregador,5.4,10.0
2024-05-16,FUNC1026,entregador,6.5,10.0
2024-05-16,FUNC1033,bartender,6.5,10.91
2024-05-16,FUNC1032,bartender,5.2,10.91
2024-05-17,FUNC1008,garçom,4.7,8.18
2024-05-17,FUNC1005,garçom,6.4,8.18
2024-05-17,FUNC1011,garçom,6.6,8.18
2024-05-17,FUNC1006,garçom,7.0,8.18
2024-05-17,FUNC1010,garçom,4.3,8.18
2024-05-17,FUNC1004,garçom,7.2,8.18
2024-05-17,FUNC1001,garçom,6.4,8.18
2024-05-17,FUNC1007,garçom,5.1,8.18
2024-05-17,FUNC1014,cozinheiro,9.2,12.73
2024-05-17,FUNC1017,cozinheiro,8.9,12.73
2024-05-17,FUNC1015,cozinheiro,8.9,12.73
2024-05-17,FUNC1016,cozinheiro,9.5,12.73
2024-05-17,FUNC1013,cozinheiro,8.1,12.73
2024-05-17,FUNC1012,cozinheiro,8.5,12.73
2024-05-17,FUNC1019,cozinheiro,7.6,12.73
2024-05-17,FUNC1018,cozinheiro,6.6,12.73
2024-05-17,FUNC1020,recepcionista,5.8,9.09
2024-05-17,FUNC1023,recepcionista,4.9,9.09
2024-05-17,FUNC1027,entregador,7.8,10.0
2024-05-17,FUNC1028,entregador,5.9,10.0
2024-05-17,FUNC1029,entregador,4.2,10.0
2024-05-17,FUNC1033,bartender,6.0,10.91
2024-05-17,FUNC1032,bartender,4.7,10.91
2024-05-17,FUNC1034,bartender,6.6,10.91
2024-05-17,FUNC1031,bartender,5.6,10.91
2024-05-18,FUNC1007,garçom,6.3,8.18
2024-05-18,FUNC1011,garçom,7.4,8.18
2024-05-18,FUNC1009,garçom,6.0,8.18
2024-05-18,FUNC1010,garçom,6.6,8.18
2024-05-18,FUNC1008,garçom,5.5,8.18
2024-05-18,FUNC1001,garçom,7.5,8.18
2024-05-18,FUNC1000,garçom,7.6,8.18
2024-05-18,FUNC1006,garçom,5.3,8.18
2024-05-18,FUNC1002,garçom,7.4,8.18
2024-05-18,FUNC1015,cozinheiro,6.2,12.73
2024-05-18,FUNC1014,cozinheiro,8.0,12.73
2024-05-18,FUNC1013,cozinheiro,8.0,12.73
2024-05-18,FUNC1012,cozinheiro,9.2,12.73
2024-05-18,FUNC1018,cozinheiro,7.4,12.73
2024-05-18,FUNC1016,cozinheiro,8.4,12.73
2024-05-18,FUNC1019,cozinheiro,8.2,12.73
2024-05-18,FUNC1017,cozinheiro,6.4,12.73
2024-05-18,FUNC1023,recepcionista,5.8,9.09
2024-05-18,FUNC1020,recepcionista,5.4,9.09
2024-05-18,FUNC1024,entregador,7.7,10.0
2024-05-18,FUNC1025,entregador,5.4,10.0
2024-05-18,FUNC1027,entregador,5.3,10.0
2024-05-18,FUNC1030,bartender,8.0,10.91
2024-05-18,FUNC1032,bartender,4.8,10.91
2024-05-18,FUNC1031,bartender,7.8,10.91
2024-05-18,FUNC1033,bartender,5.2,10.91
2024-05-19,FUNC1001,garçom,7.4,8.18
2024-05-19,FUNC1004,garçom,6.4,8.18
2024-05-19,FUNC1010,garçom,4.6,8.18
2024-05-19,FUNC1000,garçom,7.6,8.18
2024-05-19,FUNC1002,garçom,4.8,8.18
2024-05-19,FUNC1005,garçom,4.4,8.18
2024-05-19,FUNC1008,garçom,6.4,8.18
2024-05-19,FUNC1003,garçom,5.4,8.18
2024-05-19,FUNC1007,garçom,5.2,8.18
2024-05-19,FUNC1016,cozinheiro,9.9,12.73
2024-05-19,FUNC1012,cozinheiro,10.0,12.73
2024-05-19,FUNC1018,cozinheiro,7.4,12.73
2024-05-19,FUNC1013,cozinheiro,8.2,12.73
2024-05-19,FUNC1019,cozinheiro,9.1,12.73
2024-05-19,FUNC1015,cozinheiro,9.3,12.73
2024-05-19,FUNC1017,cozinheiro,6.1,12.73
2024-05-19,FUNC1014,cozinheiro,7.9,12.73
2024-05-19,FUNC1021,recepcionista,5.6,9.09
2024-05-19,FUNC1022,recepcionista,5.8,9.09
2024-05-19,FUNC1026,entregador,7.9,10.0
2024-05-19,FUNC1028,entregador,4.8,10.0
2024-05-19,FUNC1024,entregador,6.3,10.0
2024-05-19,FUNC1030,bartender,5.5,10.91
2024-05-19,FUNC1031,bartender,6.5,10.91
2024-05-19,FUNC1033,bartender,7.5,10.91
2024-05-19,FUNC1032,bartender,5.1,10.91
2024-05-20,FUNC1010,garçom,7.2,8.18
2024-05-20,FUNC1000,garçom,6.7,8.18
2024-05-20,FUNC1007,garçom,5.3,8.18
2024-05-20,FUNC1005,garçom,8.0,8.18
2024-05-20,FUNC1006,garçom,5.4,8.18
2024-05-20,FUNC1002,garçom,6.1,8.18
2024-05-20,FUNC1012,cozinheiro,7.7,12.73
2024-05-20,FUNC1013,cozinheiro,9.9,12.73
2024-05-20,FUNC1019,cozinheiro,6.7,12.73
2024-05-20,FUNC1016,cozinheiro,6.9,12.73
2024-05-20,FUNC1017,cozinheiro,7.3,12.73
2024-05-20,FUNC1014,cozinheiro,9.6,12.73
2024-05-20,FUNC1021,recepcionista,4.1,9.09
2024-05-20,FUNC1028,entregador,5.8,10.0
2024-05-20,FUNC1024,entregador,4.8,10.0
2024-05-20,FUNC1025,entregador,5.8,10.0
2024-05-20,FUNC1030,bartender,6.7,10.91
2024-05-20,FUNC1031,bartender,5.9,10.91
2024-05-20,FUNC1034,bartender,7.5,10.91
2024-05-21,FUNC1006,garçom,6.6,8.18
2024-05-21,FUNC1007,garçom,4.4,8.18
2024-05-21,FUNC1009,garçom,5.6,8.18
2024-05-21,FUNC1001,garçom,6.1,8.18
2024-05-21,FUNC1010,garçom,4.9,8.18
2024-05-21,FUNC1012,cozinheiro,6.1,12.73
2024-05-21,FUNC1017,cozinheiro,6.4,12.73
2024-05-21,FUNC1014,cozinheiro,7.8,12.73
2024-05-21,FUNC1013,cozinheiro,9.6,12.73
2024-05-21,FUNC1019,cozinheiro,9.9,12.73
2024-05-21,FUNC1018,cozinheiro,9.8,12.73
2024-05-21,FUNC1022,recepcionista,4.9,9.09
2024-05-21,FUNC1028,entregador,8.0,10.0
2024-05-21,FUNC1027,entregador,5.5,10.0
2024-05-21,FUNC1029,entregador,7.6,10.0
2024-05-21,FUNC1025,entregador,4.1,10.0
2024-05-21,FUNC1034,bartender,6.3,10.91
2024-05-21,FUNC1032,bartender,7.1,10.91
2024-05-22,FUNC1007,garçom,7.8,8.18
2024-05-22,FUNC1001,garçom,6.7,8.18
2024-05-22,FUNC1004,garçom,4.5,8.18
2024-05-22,FUNC1005,garçom,5.9,8.18
2024-05-22,FUNC1003,garçom,5.6,8.18
2024-05-22,FUNC1009,garçom,7.9,8.18
2024-05-22,FUNC1012,cozinheiro,7.4,12.73
2024-05-22,FUNC1016,cozinheiro,9.3,12.73
2024-05-22,FUNC1013,cozinheiro,9.8,12.73
2024-05-22,FUNC1018,cozinheiro,9.9,12.73
2024-05-22,FUNC1015,cozinheiro,6.8,12.73
2024-05-22,FUNC1017,cozinheiro,7.3,12.73
2024-05-22,FUNC1019,cozinheiro,9.7,12.73
2024-05-22,FUNC1021,recepcionista,4.7,9.09
2024-05-22,FUNC1027,entregador,7.0,10.0
2024-05-22,FUNC1026,entregador,6.5,10.0
2024-05-22,FUNC1028,entregador,5.4,10.0
2024-05-22,FUNC1029,entregador,7.8,10.0
2024-05-22,FUNC1032,bartender,7.8,10.91
2024-05-22,FUNC1034,bartender,4.6,10.91
2024-05-22,FUNC1033,bartender,6.5,10.91
2024-05-23,FUNC1002,garçom,5.1,8.18
2024-05-23,FUNC1008,garçom,7.4,8.18
2024-05-23,FUNC1010,garçom,5.9,8.18
2024-05-23,FUNC1006,garçom,4.1,8.18
2024-05-23,FUNC1001,garçom,4.2,8.18
2024-05-23,FUNC1007,garçom,7.9,8.18
2024-05-23,FUNC1017,cozinheiro,6.9,12.73
2024-05-23,FUNC1013,cozinheiro,7.3,12.73
2024-05-23,FUNC1016,cozinheiro,6.1,12.73
2024-05-23,FUNC1018,cozinheiro,9.0,12.73
2024-05-23,FUNC1019,cozinheiro,9.7,12.73
2024-05-23,FUNC1014,cozinheiro,6.9,12.73
2024-05-23,FUNC1023,recepcionista,4.8,9.09
2024-05-23,FUNC1025,entregador,5.4,10.0
2024-05-23,FUNC1024,entregador,4.2,10.0
2024-05-23,FUNC1027,entregador,7.2,10.0
2024-05-23,FUNC1031,bartender,6.3,10.91
2024-05-23,FUNC1033,bartender,7.1,10.91
2024-05-23,FUNC1030,bartender,4.3,10.91
2024-05-24,FUNC1004,garçom,7.7,8.18
2024-05-24,FUNC1009,garçom,7.4,8.18
2024-05-24,FUNC1002,garçom,7.9,8.18
2024-05-24,FUNC1008,garçom,5.1,8.18
2024-05-24,FUNC1005,garçom,5.7,8.18
2024-05-24,FUNC1011,garçom,6.9,8.18
2024-05-24,FUNC1001,garçom,7.3,8.18
2024-05-24,FUNC1000,garçom,5.6,8.18
2024-05-24,FUNC1017,cozinheiro,6.9,12.73
2024-05-24,FUNC1014,cozinheiro,9.2,12.73
2024-05-24,FUNC1015,cozinheiro,7.9,12.73
2024-05-24,FUNC1016,cozinheiro,6.7,12.73
2024-05-24,FUNC1013,cozinheiro,7.3,12.73
2024-05-24,FUNC1012,cozinheiro,7.3,12.73
2024-05-24,FUNC1019,cozinheiro,9.9,12.73
